ID,Ашиглалтанд орсон он,Барилгын давхар,Барилгын явц,Гараж,Байршил,Огноо,Тагт,Талбай,Төлбөрийн нөхцөл,Хаалга,Хэдэн давхарт,Цонх,Цонхны тоо,Шал,Үнэ
1,2018,18,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,262,Лизинггүй,Төмөр,18,Төмөр вакум,8,Паркет,"24,809,160"
1,2011,25,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,Тагтгүй,173,Банкны лизингтэй,Бүргэд,17,Вакум,5,Паркет,"15,028,902"
1,2012,25,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,Тагтгүй,170,Лизинггүй,Төмөр вакум,19,Төмөр вакум,8,Ламинат,"14,705,882"
1,2024,23,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,Тагтгүй,118,Банкны лизингтэй,Мод,19,Төмөр вакум,4,Мод,"13,983,051"
1,2018,18,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,1 тагттай,366,Лизинггүй,Төмөр,13,Вакум,8,Паркет,"13,661,202"
1,2020,22,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,3+ тагттай,366,Лизинггүй,Бүргэд,13,Вакум,8,Паркет,"13,661,202"
1,2022,15,Ашиглалтад ороогүй,Байгаа,СБД,1/1/2024,3+ тагттай,366,Лизинггүй,Бүргэд,13,Вакум,6,Паркет,"13,661,202"
1,2015,20,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,142,Банкны лизингтэй,Төмөр,9,Вакум,5,Паркет,"13,028,169"
1,2014,20,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,142,Банкны лизингтэй,Төмөр,9,Мод,4,Паркет,"13,028,169"
1,2018,7,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,170,Банкны лизингтэй,Бүргэд,7,Вакум,6,Паркет,"12,941,176"
1,2024,22,Ашиглалтад орсон,Байхгүй,СБД,1/1/2024,Тагтгүй,68,Лизинггүй,Бүргэд,15,Вакум,2,Паркет,"12,900,000"
1,2024,16,Ашиглалтад орсон,Байхгүй,СБД,1/1/2024,Тагтгүй,139,Лизинггүй,Бүргэд,15,Вакум,6,Паркет,"12,900,000"
1,2024,23,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,Тагтгүй,68,Банкны лизингтэй,Бүргэд,15,Вакум,3,Паркет,"12,900,000"
1,2024,23,Ашиглалтад орсон,Байхгүй,СБД,1/1/2024,Тагтгүй,68,Банкны лизингтэй,Бүргэд,15,Вакум,3,Паркет,"12,900,000"
1,2020,7,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,163,Лизинггүй,Бүргэд,3,Вакум,5,Паркет,"12,883,436"
1,2020,16,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,130,Лизинггүй,Бүргэд,12,Вакум,3,Паркет,"12,692,308"
1,2015,14,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,157,Хувь лизингтэй,Бүргэд,20,Вакум,7,Паркет,"12,101,911"
1,2015,22,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,157,Хувь лизингтэй,Бүргэд,15,Вакум,5,Паркет,"12,101,911"
